ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
7715	(1Pl alienable possessor, all forms)	Nanga	î: yɛ̀	îː # j ɛ̀
7716	(1Pl alienable possessor, all forms)	Nanga	î: gɔ̀	îː # ɡ ɔ̀
7717	(1Pl alienable possessor, all forms)	Jamsay_Douentza	ɛ́mɛ́	ɛ́ m ɛ́
7718	(1Pl alienable possessor, all forms)	Perge_Tegu	í	í
7719	(1Pl alienable possessor, all forms)	Yorno_So	ɛ̀mɛ̀	ɛ̀ m ɛ̀
7720	(1Pl alienable possessor, all forms)	Tebul_Ure	ígɛ̀	í ɡ ɛ̀
7721	(1Pl alienable possessor, all forms)	Tebul_Ure	ígɛ̀mbɔ̀	í ɡ ɛ̀ m b ɔ̀
7722	(1Pl alienable possessor, all forms)	Yanda_Dom	yɛ̂:ⁿ	j ɛ̂ːⁿ
7723	(1Pl alienable possessor, all forms)	Tiranige	nìwɛ́	n ì w ɛ́
7724	(1Pl alienable possessor, all forms)	Tiranige	nìwɛ̀	n ì w ɛ̀
7704	(1Pl all-purpose possessor)	Toro_Tegu	í	í
7705	(1Pl all-purpose possessor)	Ben_Tey	î:	îː
7706	(1Pl all-purpose possessor)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́
7707	(1Pl all-purpose possessor)	Tomo_Kan_Segue	bè	b è
7708	(1Pl all-purpose possessor)	Najamba	í	í
7709	(1Pl all-purpose possessor)	Najamba	í yɛ̀	í # j ɛ̀
7710	(1Pl all-purpose possessor)	Najamba	í bɔ̀	í # b ɔ̀
7711	(1Pl all-purpose possessor)	Ampari	nì	n ì
7712	(1Pl all-purpose possessor)	Bunoge	ŋ́	ŋ́
7713	(1Pl all-purpose possessor)	Penange	m̀bè	m̀ b è
7714	(1Pl all-purpose possessor)	Penange	m̀:	m̀ː
7725	(1Pl inalienable possessor)	Nanga	î:	îː
7726	(1Pl inalienable possessor)	Jamsay_Douentza	ɛ̀mɛ̀	ɛ̀ m ɛ̀
7727	(1Pl inalienable possessor)	Perge_Tegu	ì	ì
7728	(1Pl inalienable possessor)	Yorno_So	émɛ́	é m ɛ́
7729	(1Pl inalienable possessor)	Tebul_Ure	í	í
7730	(1Pl inalienable possessor)	Yanda_Dom	yè	j è
7731	(1Pl inalienable possessor)	Tiranige	nì	n ì
7478	(1Pl independent pronoun)	Toro_Tegu	í	í
7479	(1Pl independent pronoun)	Ben_Tey	î:	îː
7480	(1Pl independent pronoun)	Nanga	î:	îː
7481	(1Pl independent pronoun)	Jamsay_Douentza	ɛ́mɛ́	ɛ́ m ɛ́
7482	(1Pl independent pronoun)	Perge_Tegu	í	í
7483	(1Pl independent pronoun)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́
7484	(1Pl independent pronoun)	Yorno_So	émɛ́	é m ɛ́
7485	(1Pl independent pronoun)	Tomo_Kan_Segue	bé	b é
7486	(1Pl independent pronoun)	Tebul_Ure	í	í
7487	(1Pl independent pronoun)	Yanda_Dom	yé	j é
7488	(1Pl independent pronoun)	Najamba	í	í
7489	(1Pl independent pronoun)	Tiranige	níwⁿ	n í wⁿ
7490	(1Pl independent pronoun)	Tiranige	nì	n ì
7491	(1Pl independent pronoun)	Ampari	ní	n í
7492	(1Pl independent pronoun)	Bunoge	mìyá	m ì j á
7493	(1Pl independent pronoun)	Penange	ḿbé	ḿ b é
7580	(1Pl subject pronominal)	Toro_Tegu	í	í
7581	(1Pl subject pronominal)	Ben_Tey	ỳ∴	j̀
7582	(1Pl subject pronominal)	Nanga	ỳ∴	j̀
7583	(1Pl subject pronominal)	Jamsay_Douentza	y	j
7584	(1Pl subject pronominal)	Perge_Tegu	y	j
7585	(1Pl subject pronominal)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́
7586	(1Pl subject pronominal)	Tomo_Kan_Segue	bè	b è
7587	(1Pl subject pronominal)	Tebul_Ure	yⁿ	jⁿ
7588	(1Pl subject pronominal)	Yanda_Dom	y	j
7589	(1Pl subject pronominal)	Najamba	y	j
7590	(1Pl subject pronominal)	Tiranige	ní	n í
7591	(1Pl subject pronominal)	Tiranige	nì	n ì
7592	(1Pl subject pronominal)	Ampari	ǹ	ǹ
7593	(1Pl subject pronominal)	Bunoge	ŋ́	ŋ́
7594	(1Pl subject pronominal)	Penange	ŋ̀	ŋ̀
7641	(1Sg accusative, irregular only)	Nanga	ǹjíŋ	ǹ dʒ í ŋ
7642	(1Sg accusative, irregular only)	Togo_Kan	má	m á
7643	(1Sg accusative, irregular only)	Yorno_So	míỳ	m í j̀
7644	(1Sg accusative, irregular only)	Tomo_Kan_Segue	mìní	m ì n í
7663	(1Sg alienable possessor, all forms)	Jamsay_Douentza	má	m á
7664	(1Sg alienable possessor, all forms)	Perge_Tegu	má	m á
7665	(1Sg alienable possessor, all forms)	Yorno_So	mɔ̀	m ɔ̀
7666	(1Sg alienable possessor, all forms)	Tebul_Ure	kɔ̌:	k ɔ̌ː
7667	(1Sg alienable possessor, all forms)	Yanda_Dom	míyⁿɛ̀	m í jⁿ ɛ̀
7668	(1Sg alienable possessor, all forms)	Tiranige	mɛ̌:	m ɛ̌ː
7669	(1Sg alienable possessor, all forms)	Tiranige	mɛ̀:	m ɛ̀ː
7651	(1Sg all-purpose possessor)	Toro_Tegu	m̀	m̀
7652	(1Sg all-purpose possessor)	Nanga	yɛ᷈:	j ɛ᷈ː
7653	(1Sg all-purpose possessor)	Nanga	kɔ᷈:	k ɔ᷈ː
7654	(1Sg all-purpose possessor)	Togo_Kan	mà	m à
7655	(1Sg all-purpose possessor)	Tomo_Kan_Segue	ǹ	ǹ
7656	(1Sg all-purpose possessor)	Najamba	mí	m í
7657	(1Sg all-purpose possessor)	Najamba	mí yɛ̀	m í # j ɛ̀
7658	(1Sg all-purpose possessor)	Najamba	mí bɔ̀	m í # b ɔ̀
7659	(1Sg all-purpose possessor)	Ampari	ǹ	ǹ
7660	(1Sg all-purpose possessor)	Bunoge	ŋ̀	ŋ̀
7661	(1Sg all-purpose possessor)	Penange	ḿ	ḿ
7662	(1Sg all-purpose possessor)	Penange	m̀	m̀
7645	(1Sg dative (irregular)	Nanga	bàrⁿí	b à rⁿ í
7646	(1Sg dative (irregular)	Jamsay_Douentza	mìń	m ì ń
7647	(1Sg dative (irregular)	Perge_Tegu	mìrⁿú	m ì rⁿ ú
7648	(1Sg dative (irregular)	Togo_Kan	máǹ	m á ǹ
7649	(1Sg dative (irregular)	Tomo_Kan_Segue	ǹdó	ǹ d ó
7650	(1Sg dative (irregular)	Najamba	ḿ mà	ḿ # m à
7670	(1Sg inalienable possessor)	Jamsay_Douentza	mì	m ì
7671	(1Sg inalienable possessor)	Perge_Tegu	mì	m ì
7672	(1Sg inalienable possessor)	Yorno_So	mú	m ú
7673	(1Sg inalienable possessor)	Tebul_Ure	mí	m í
7674	(1Sg inalienable possessor)	Yanda_Dom	mì	m ì
7675	(1Sg inalienable possessor)	Tiranige	mì	m ì
7429	(1Sg independent pronoun)	Toro_Tegu	mí	m í
7430	(1Sg independent pronoun)	Toro_Tegu	m̀ᵇí	m̀ í
7431	(1Sg independent pronoun)	Bangime	mí	m í
7432	(1Sg independent pronoun)	Sangha_So	mú	m ú
7433	(1Sg independent pronoun)	Ben_Tey	í	í
7434	(1Sg independent pronoun)	Bankan_Tey	í	í
7435	(1Sg independent pronoun)	Nanga	ǐ:ⁿ	ǐːⁿ
7436	(1Sg independent pronoun)	Jamsay_Douentza	mí	m í
7437	(1Sg independent pronoun)	Perge_Tegu	mí	m í
7438	(1Sg independent pronoun)	Jamsay_Mondoro	mí	m í
7439	(1Sg independent pronoun)	Togo_Kan	íⁿ	íⁿ
7440	(1Sg independent pronoun)	Yorno_So	mú	m ú
7441	(1Sg independent pronoun)	Tomo_Kan_Segue	mí	m í
7442	(1Sg independent pronoun)	Tomo_Kan_Diangassagou	mí	m í
7443	(1Sg independent pronoun)	Tommo_So	mí	m í
7444	(1Sg independent pronoun)	Dogul_Dom	mí	m í
7445	(1Sg independent pronoun)	Tebul_Ure	mí	m í
7446	(1Sg independent pronoun)	Yanda_Dom	mí	m í
7447	(1Sg independent pronoun)	Najamba	mí	m í
7448	(1Sg independent pronoun)	Tiranige	míwⁿ	m í wⁿ
7449	(1Sg independent pronoun)	Tiranige	mì	m ì
7450	(1Sg independent pronoun)	Mombo	mí:	m íː
7451	(1Sg independent pronoun)	Ampari	mi	m i
7452	(1Sg independent pronoun)	Bunoge	mì	m ì
7453	(1Sg independent pronoun)	Penange	mí	m í
7565	(1Sg subject pronominal)	Toro_Tegu	m̀	m̀
7566	(1Sg subject pronominal)	Ben_Tey	ỳ	j̀
7567	(1Sg subject pronominal)	Nanga	ỳ	j̀
7568	(1Sg subject pronominal)	Jamsay_Douentza	m	m
7569	(1Sg subject pronominal)	Perge_Tegu	m	m
7570	(1Sg subject pronominal)	Togo_Kan	í	í
7571	(1Sg subject pronominal)	Yorno_So	m	m
7572	(1Sg subject pronominal)	Tomo_Kan_Segue	ìⁿ	ìⁿ
7573	(1Sg subject pronominal)	Tebul_Ure	m	m
7574	(1Sg subject pronominal)	Yanda_Dom	m	m
7575	(1Sg subject pronominal)	Najamba	m	m
7576	(1Sg subject pronominal)	Tiranige	yⁿ	jⁿ
7577	(1Sg subject pronominal)	Ampari	ǹ	ǹ
7578	(1Sg subject pronominal)	Bunoge	ŋ̀	ŋ̀
7579	(1Sg subject pronominal)	Penange	ŋ́	ŋ́
7742	(2Pl alienable possessor, all forms)	Nanga	û: yɛ̀	ûː # j ɛ̀
7743	(2Pl alienable possessor, all forms)	Nanga	û: gɔ̀	ûː # ɡ ɔ̀
7744	(2Pl alienable possessor, all forms)	Jamsay_Douentza	é	é
7745	(2Pl alienable possessor, all forms)	Perge_Tegu	é	é
7746	(2Pl alienable possessor, all forms)	Yorno_So	ɛ̀:	ɛ̀ː
7747	(2Pl alienable possessor, all forms)	Tebul_Ure	bígɛ̀	b í ɡ ɛ̀
7748	(2Pl alienable possessor, all forms)	Tebul_Ure	bígɛ̀mbɔ̀	b í ɡ ɛ̀ m b ɔ̀
7749	(2Pl alienable possessor, all forms)	Yanda_Dom	wɛ̂:ⁿ	w ɛ̂ːⁿ
