NUMBER,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS,MATCH_QUALITY
1,(1Sg independent pronoun),1209,???,8
,,,,
2,(2Sg independent pronoun),1213,???,8
,,,,
3,"(Existential particle, with 'be' and 'have')",1579,???,8
,,,,
4,(e.g. bird) fly,1441,FLY (MOVE THROUGH AIR) (verb),3
,,,,
5,"(plant) sprout, come up (verb)",2076,SPROUT (VERB) (verb),3
,,,,
6,"(political) chief, boss",2394,CHIEF (noun),3
,,,,
7,(quotative particle: indicate if not clause-final),0,???,!
,,,,
8,(rain) fall (verb only),2234,FALL (OF SNOW AND RAIN) (verb),2
,,,,
9,"(sb, mammal) bite (sb)",1403,???,8
,,,,
10,"(single) grain, seed, nut",605,GRAIN (noun),3
10,"(single) grain, seed, nut",714,SEED (noun),3
10,"(single) grain, seed, nut",191,NUT (noun),3
,,,,
11,(snake) bite (sb),1403,BITE (verb),3
,,,,
12,"(sth) not exist, there is/are not",2152,THERE IS OR THERE ARE (verb),5
12,"(sth) not exist, there is/are not",2279,NO OR NOT,5
,,,,
15,African eggplant (similar to tomato) in two varieties,???,???,!
,,,,
16,"I am (copula, with noun)",???,???,!
,,,,
17,above (sth),1741,ABOVE,2
,,,,
18,"all, every",98,ALL,2
,,,,
19,"also, too",0,???,!
,,,,
20,animal fat (in meat),323,???,!
,,,,
21,"arm, hand",2121,ARM OR HAND (noun),5
,,,,
23,ashes,646,???,8
,,,,
25,back (body),1291,BACK (noun),3
,,,,
26,"bad, no good",1292,BAD (adjective),3
,,,,
27,belly,1251,BELLY (noun),3
,,,,
28,"beside, at the side of (sth)",1816,BESIDE,2
,,,,
29,between ... and ...,689,BETWEEN,5
,,,,
31,"big, large",1202,BIG (adjective),3
,,,,
33,bird (any),937,BIRD (noun),3
,,,,
35,bitter (in taste),887,BITTER (adjective),3
,,,,
37,"black, dark",163,BLACK (adjective),3
37,"black, dark",706,DARK (adjective),3
,,,,
38,"blacksmith, member of blacksmith caste",1001,BLACKSMITH (noun),3
,,,,
39,blood,946,BLOOD (noun),3
,,,,
40,blow on (e.g. fire),175,BLOW (OF WIND) (verb),5
,,,,
41,blow one's nose,???,???,!
,,,,
42,"blunt, not sharp (blade)",379,BLUNT (adjective),3
42,"blunt, not sharp (blade)",1396,SHARP (adjective),5
,,,,
43,bone,1394,BONE (noun),3
,,,,
44,breast,1402,BREAST (noun),3
,,,,
45,breathe,1407,BREATHE (verb),3
,,,,
46,"burn (e.g. paper, grass, fabric)",141,BURN (SOMETHING) (verb),3
,,,,
47,"carry (sth, on one's head)",414,CARRY ON HEAD (verb),5
,,,,
48,cassava,925,CASSAVA (noun),3
,,,,
49,child,2099,CHILD (noun),3
,,,,
51,circle,1467,CIRCLE (noun),3
,,,,
52,cloud,1489,CLOUD (noun),3
,,,,
53,cold (e.g. water),1287,COLD (adjective),3
,,,,
54,come,1446,COME (verb),3
,,,,
55,"corn, maize",506,MAIZE (noun),3
,,,,
56,"count (things), recite (numbers)",1420,COUNT (verb),3
,,,,
57,"cow, bull (any bovine)",1007,COW (noun),3
57,"cow, bull (any bovine)",1008,BULL (noun),3
,,,,
58,cow-pea,0,???,!
,,,,
59,cultivated sesame (Sesamum indicum),0,???,!
,,,,
60,daytime (not night),1225,???,8
,,,,
