ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST	VARIANTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
121	(1Sg independent pronoun)	Bangime	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	1	1.M.C 1.I.V 1.6.T	1.6 3.0 1.0	mi˦	0	1
122	(1Sg independent pronoun)	Bankan_Tey	í	i ˦	DB,LJ		7 8	XT	I6	2	2.I.V 2.6.T	3.0 1.0	i˦	0	2
123	(1Sg independent pronoun)	Ben_Tey	í	i ˦	DB,LJ		7 8	XT	I6	3	3.I.V 3.6.T	3.0 1.0	i˦	0	2
124	(1Sg independent pronoun)	Bunoge	mì	m i ˨	DB,LJ		4 7 8	AXT	MI6	4	4.M.C 4.I.V 4.6.T	1.6 3.0 1.0	mi˨	1	1
125	(1Sg independent pronoun)	Dogul_Dom	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	5	5.M.C 5.I.V 5.6.T	1.6 3.0 1.0	mi˦	0	1
126	(1Sg independent pronoun)	Jamsay_Douentza	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	8	8.M.C 8.I.V 8.6.T	1.6 3.0 1.0	mi˦	0	1
128	(1Sg independent pronoun)	Mombo	mí:	m iː ˦	DB,LJ		4 7 8	AXT	MI6	9	9.M.C 9.I.V 9.6.T	1.6 3.0 1.0	miː˦	0	1
129	(1Sg independent pronoun)	Najamba	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	10	10.M.C 10.I.V 10.6.T	1.6 3.0 1.0	mi˦	0	1
130	(1Sg independent pronoun)	Nanga	ǐ:ⁿ	ĩː ˩˥	DB,LJ		7 0	XN	I0	11	11.I.V 11.0.c	1.5 0.8	ĩː˩˥	0	3
131	(1Sg independent pronoun)	Penange	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	12	12.M.C 12.I.V 12.6.T	1.6 3.0 1.0	mi˦	0	1
132	(1Sg independent pronoun)	Perge_Tegu	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	13	13.M.C 13.I.V 13.6.T	1.6 3.0 1.0	mi˦	0	1
134	(1Sg independent pronoun)	Tebul_Ure	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	14	14.M.C 14.I.V 14.6.T	1.6 3.0 1.0	mi˦	0	1
135	(1Sg independent pronoun)	Tiranige	mì	m i ˨	DB,LJ	m i ˦ w̃	4 7 8	AXT	MI6	15	15.M.C 15.I.V 15.6.T	1.6 3.0 1.0	mi˨	0	1
137	(1Sg independent pronoun)	Togo_Kan	íⁿ	ĩ ˦	DB,LJ		7 8	XT	I6	16	16.I.V 16.6.T	3.0 1.0	ĩ˦	0	2
138	(1Sg independent pronoun)	Tommo_So	mí	m i ˦	DB,LJ		4 7 8	AXT	MI6	17	17.M.C 17.I.V 17.6.T	1.6 3.0 1.0	mi˦	0	1
