# Wordlist

# DATA
ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST	VARIANTS
#
121	(1Sg independent pronoun)	Bangime	mí	m i ˦	DB,LJ	
122	(1Sg independent pronoun)	Bankan_Tey	í	i ˦	DB,LJ	
123	(1Sg independent pronoun)	Ben_Tey	í	i ˦	DB,LJ	
124	(1Sg independent pronoun)	Bunoge	mì	m i ˨	DB,LJ	
125	(1Sg independent pronoun)	Dogul_Dom	mí	m i ˦	DB,LJ	
126	(1Sg independent pronoun)	Jamsay_Douentza	mí	m i ˦	DB,LJ	
128	(1Sg independent pronoun)	Mombo	mí:	m iː ˦	DB,LJ	
129	(1Sg independent pronoun)	Najamba	mí	m i ˦	DB,LJ	
130	(1Sg independent pronoun)	Nanga	ǐ:ⁿ	ĩː ˩˥	DB,LJ	
131	(1Sg independent pronoun)	Penange	mí	m i ˦	DB,LJ	
132	(1Sg independent pronoun)	Perge_Tegu	mí	m i ˦	DB,LJ	
134	(1Sg independent pronoun)	Tebul_Ure	mí	m i ˦	DB,LJ	
135	(1Sg independent pronoun)	Tiranige	mì	m i ˨	DB,LJ	m i ˦ w̃
137	(1Sg independent pronoun)	Togo_Kan	íⁿ	ĩ ˦	DB,LJ	
138	(1Sg independent pronoun)	Tommo_So	mí	m i ˦	DB,LJ	
141	(1Sg independent pronoun)	Toro_Tegu	mí	m i ˦	DB,LJ	m ˨ i ˦
143	(1Sg independent pronoun)	Yanda_Dom	mí	m i ˦	DB,LJ	
144	(1Sg independent pronoun)	Yorno_So	mú	m u ˦	DB,LJ	
145	(1Sg independent pronoun)	Donno_So	mí	m i ˦	DB,LJ	
#
266	(2Sg independent pronoun)	Bangime	à	a ˨	DB,LJ	
267	(2Sg independent pronoun)	Bankan_Tey	ú	u ˦	DB,LJ	
268	(2Sg independent pronoun)	Ben_Tey	ú	u ˦	DB,LJ	
269	(2Sg independent pronoun)	Bunoge	ò	o ˨	DB,LJ	
270	(2Sg independent pronoun)	Dogul_Dom	ó	o ˦	DB,LJ	
273	(2Sg independent pronoun)	Mombo	ó:	oː ˦	DB,LJ	
274	(2Sg independent pronoun)	Najamba	ó	o ˦	DB,LJ	
275	(2Sg independent pronoun)	Nanga	ú	u ˦	DB,LJ	
276	(2Sg independent pronoun)	Penange	ó	o ˦	DB,LJ	
277	(2Sg independent pronoun)	Perge_Tegu	ú	u ˦	DB,LJ	
279	(2Sg independent pronoun)	Tebul_Ure	ú	u ˦	DB,LJ	
280	(2Sg independent pronoun)	Tiranige	ò	o ˨	DB,LJ	oː ˦
282	(2Sg independent pronoun)	Togo_Kan	ú	u ˦	DB,LJ	
283	(2Sg independent pronoun)	Tommo_So	ú	u ˦	DB,LJ	
286	(2Sg independent pronoun)	Toro_Tegu	ú	u ˦	DB,LJ	
287	(2Sg independent pronoun)	Yanda_Dom	ó	o ˦	DB,LJ	
288	(2Sg independent pronoun)	Yorno_So	ú	u ˦	DB,LJ	
289	(2Sg independent pronoun)	Donno_So	ú	u ˦	DB,LJ	
271	(2Sg independent pronoun)	Jamsay_Douentza	ú	u ˦	DB,LJ	
#
575	(Existential particle, with 'be' and 'have')	Bankan_Tey	yá	j a ˦	DB	
576	(Existential particle, with 'be' and 'have')	Ben_Tey	yá	j a ˦	DB	
579	(Existential particle, with 'be' and 'have')	Jamsay_Douentza	yɛ́	j ɛ ˦	DB	j ɔ ˦
581	(Existential particle, with 'be' and 'have')	Mombo	ò	o ˨	DB	
582	(Existential particle, with 'be' and 'have')	Nanga	yá	j a ˦	DB	
585	(Existential particle, with 'be' and 'have')	Perge_Tegu	yá	j a ˦	DB	
586	(Existential particle, with 'be' and 'have')	Tebul_Ure	yé	j e ˦	DB	
587	(Existential particle, with 'be' and 'have')	Tiranige	é	e ˦	DB	e ˨
589	(Existential particle, with 'be' and 'have')	Togo_Kan	yɛ́	j ɛ ˦	DB	j ɔ ˦
591	(Existential particle, with 'be' and 'have')	Tommo_So	yé	j e ˦	DB	
592	(Existential particle, with 'be' and 'have')	Toro_Tegu	á	a ˦	DB	
593	(Existential particle, with 'be' and 'have')	Yanda_Dom	yà	j a ˨	DB	
594	(Existential particle, with 'be' and 'have')	Yorno_So	yá	j a ˦	DB	
