ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST
1	-teen ('11' to '19')	Donno_So	sìgɛ̀	s i ˨ ɡ ɛ ˨	DB
2	(1Pl alienable possessor, all forms)	Donno_So	ɛ̀m-mɔ̀	ɛ ˨ m m ɔ ˨	DB
3	(1Pl inalienable possessor)	Donno_So	ɛ́mmɛ̀	ɛ ˦ m m ɛ ˨	DB
4	(1Pl independent pronoun)	Dogul_Dom	í	i ˦	DB
5	(1Pl independent pronoun)	Donno_So	ɛ́mmɛ̀	ɛ ˦ m m ɛ ˨	DB
6	(1Pl subject pronominal)	Mombo	Ǹ-	n ˨	DB
7	(1Pl subject pronominal)	Tomo_Kan_Diangassagou	à	a ˨	DB
8	(1Pl subject pronominal)	Donno_So	-ŋ	ŋ	DB
9	(1Pl subject pronominal)	Donno_So	-ʸŋ	ʸŋ	DB
10	(1Sg alienable possessor, all forms)	Donno_So	m̀-mɔ̀	m ˨ m ɔ ˨	DB
11	(1Sg inalienable possessor)	Donno_So	mí	m i ˦	DB
12	(1Sg independent pronoun)	Donno_So	mí	m i ˦	DB
13	(1Sg subject pronominal)	Mombo	N-	n	DB
14	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	ìⁿ 	ĩ ˨	DB
15	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	 ŋ̀	ŋ ˨	DB
16	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	mí-	m i ˦	DB
17	(1Sg subject pronominal)	Donno_So	-ŋ	ŋ	DB
18	(1Sg subject pronominal)	Donno_So	-m	m	DB
19	(2Pl alienable possessor, all forms)	Donno_So	è-mɔ̀	e ˨ m ɔ ˨	DB
20	(2Pl inalienable possessor)	Donno_So	é	e ˦	DB
21	(2Pl independent pronoun)	Dogul_Dom	é	e ˦	DB
22	(2Pl independent pronoun)	Donno_So	é	e ˦	DB
23	(2Pl subject pronominal)	Mombo	e-	e	DB
24	(2Pl subject pronominal)	Tomo_Kan_Diangassagou	è	e ˨	DB
25	(2Pl subject pronominal)	Donno_So	-ŋ̀	ŋ ˨	DB
26	(2Pl subject pronominal)	Donno_So	-ʸŋ̀	ʸŋ	DB
27	(2Sg alienable possessor, all forms)	Donno_So	ù-mɔ̀	u ˨ m ɔ ˨	DB
28	(2Sg inalienable possessor)	Donno_So	ú	u ˦	DB
29	(2Sg independent pronoun)	Donno_So	ú	u ˦	DB
30	(2Sg subject pronominal)	Mombo	a-	a	DB
31	(2Sg subject pronominal)	Tomo_Kan_Diangassagou	bè	b e ˨	DB
32	(2Sg subject pronominal)	Donno_So	-ẁ	w ˨	DB
33	(3Pl all-purpose alienable possessor)	Donno_So	bè-mɔ̀	b e ˨ m ɔ ˨	DB
34	(3Pl all-purpose inalienable possessor)	Donno_So	bé	b e ˦	DB
35	(3Pl all-purpose independent pronoun)	Dogul_Dom	bé	b e ˦	DB
36	(3Pl all-purpose independent pronoun)	Donno_So	bé	b e ˦	DB
37	(3Pl all-purpose subject pronominal)	Tomo_Kan_Diangassagou	bò	b o ˨	DB
38	(3Sg all-purpose alienable possessor)	Donno_So	wò-mɔ̀	w o ˨ m ɔ ˨	DB
39	(3Sg all-purpose inalienable possessor)	Donno_So	wó	w o ˦	DB
40	(3Sg all-purpose independent pronoun)	Donno_So	wó	w o ˦	DB
41	(3Sg human subject pronominal)	Tomo_Kan_Diangassagou	wò	w o ˨	DB
42	(3Sg inanimate pronoun)	Donno_So	kó	k o ˦	DB
43	(3Sg inanimate subject pronominal)	Tomo_Kan_Diangassagou	kò	k o ˨	DB
44	(Accusative)	Dogul_Dom	=ỳ	j ˨	DB
45	(Accusative)	Donno_So	=ŋ	ŋ	DB
46	(causative suffix, with minor variants parenthesized)	Mombo	-mì	m i ˨	DB
