ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST
1	-teen ('11' to '19')	Ben_Tey	sâ:	s âː	DB
2	-teen ('11' to '19')	Dogul_Dom	sìgà	s ì ɡ à	DB
3	-teen ('11' to '19')	Gourou	sáɣà	s á ɣ à	DB
4	-teen ('11' to '19')	Jamsay_Douentza	sáɣà	s á ɣ à	DB
5	-teen ('11' to '19')	Najamba	sìgà	s ì ɡ à	DB
6	-teen ('11' to '19')	Nanga	ságâ	s á ɡ â	DB
7	-teen ('11' to '19')	Penange	níY	n í	DB
8	-teen ('11' to '19')	Perge_Tegu	ságà	s á ɡ à	DB
9	-teen ('11' to '19')	Tebul_Ure	sàgà	s à ɡ à	DB
10	-teen ('11' to '19')	Tiranige	sùgɔ́	s ù ɡ ɔ́	DB
11	-teen ('11' to '19')	Togo_Kan	ságà	s á ɡ à	DB
12	-teen ('11' to '19')	Tommo_So	pɛ́lúgógó sígɛ́	p ɛ́ l ú ɡ ó ɡ ó # s í ɡ ɛ́	DB
13	-teen ('11' to '19')	Yanda_Dom	sî:	s îː	DB
14	-teen ('11' to '19')	Yorno_So	sìgɛ̀	s ì ɡ ɛ̀	DB
15	-teen ('11' to '19')	Donno_So	sìgɛ̀	s ì ɡ ɛ̀	DB
16	(1Pl alienable possessor, all forms)	Jamsay_Douentza	ɛ́mɛ́	ɛ́ m ɛ́	DB
17	(1Pl alienable possessor, all forms)	Nanga	î: gɔ̀	îː # ɡ ɔ̀	DB
18	(1Pl alienable possessor, all forms)	Nanga	î: yɛ̀	îː # j ɛ̀	DB
19	(1Pl alienable possessor, all forms)	Perge_Tegu	í	í	DB
20	(1Pl alienable possessor, all forms)	Tebul_Ure	ígɛ̀	í ɡ ɛ̀	DB
21	(1Pl alienable possessor, all forms)	Tebul_Ure	ígɛ̀mbɔ̀	í ɡ ɛ̀ m b ɔ̀	DB
22	(1Pl alienable possessor, all forms)	Tiranige	nìwɛ́	n ì w ɛ́	DB
23	(1Pl alienable possessor, all forms)	Tiranige	nìwɛ̀	n ì w ɛ̀	DB
24	(1Pl alienable possessor, all forms)	Yanda_Dom	yɛ̂:ⁿ	j ɛ̂ːⁿ	DB
25	(1Pl alienable possessor, all forms)	Yorno_So	ɛ̀mɛ̀	ɛ̀ m ɛ̀	DB
