ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
2952	(e.g. tire, balloon) be inflated	Toro_Tegu	zú	z ú
2953	(e.g. tire, balloon) be inflated	Toro_Tegu	zó	z ó
2954	(e.g. tire, balloon) be inflated	Bangime	píndù pìndù	p í n d ù # p ì n d ù
2955	(e.g. tire, balloon) be inflated	Ben_Tey	píté	p í t é
2956	(e.g. tire, balloon) be inflated	Bankan_Tey	bá	b á
2957	(e.g. tire, balloon) be inflated	Nanga	píríyé	p í r í j é
2958	(e.g. tire, balloon) be inflated	Jamsay_Douentza	píté	p í t é
2959	(e.g. tire, balloon) be inflated	Perge_Tegu	píté	p í t é
2960	(e.g. tire, balloon) be inflated	Togo_Kan	pídé	p í d é
2961	(e.g. tire, balloon) be inflated	Yorno_So	újù yó:	ú dʒ ù # j óː
2962	(e.g. tire, balloon) be inflated	Tommo_So	údú yóó	ú d ú # j óː
2963	(e.g. tire, balloon) be inflated	Najamba	píbíy	p í b í j
2964	(e.g. tire, balloon) be inflated	Najamba	pìbìyè	p ì b ì j è
2965	(e.g. tire, balloon) be inflated	Mombo	yá:lé túlé	j áː l é # t ú l é
2966	(e.g. tire, balloon) be inflated	Bunoge	ʔámmɛ̀	ʔ á m m ɛ̀
2967	(e.g. tire, balloon) be inflated	Penange	pújúlgè	p ú dʒ ú l ɡ è
2767	(logophoric singular pronoun)	Toro_Tegu	àsí	à s í
2768	(logophoric singular pronoun)	Bangime	káẁ	k á ẁ
2769	(logophoric singular pronoun)	Ben_Tey	á	á
2770	(logophoric singular pronoun)	Bankan_Tey	á	á
2771	(logophoric singular pronoun)	Nanga	á	á
2772	(logophoric singular pronoun)	Jamsay_Douentza	ɛ̀nɛ́	ɛ̀ n ɛ́
2773	(logophoric singular pronoun)	Jamsay_Douentza	ìnɛ́	ì n ɛ́
2774	(logophoric singular pronoun)	Perge_Tegu	ɛ̀lɛ́	ɛ̀ l ɛ́
2775	(logophoric singular pronoun)	Jamsay_Mondoro	ɛ̀nɛ́	ɛ̀ n ɛ́
2776	(logophoric singular pronoun)	Togo_Kan	ɛ̀nɛ́	ɛ̀ n ɛ́
2777	(logophoric singular pronoun)	Yorno_So	ùnɔ́:	ù n ɔ́ː
2778	(logophoric singular pronoun)	Tommo_So	ǹdɛ̀mɔ́	ǹ d ɛ̀ m ɔ́
2779	(logophoric singular pronoun)	Tebul_Ure	á	á
