English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
domestic animal (esp. livestock),àrùzàká ~ àrzàgá,àrsɛ̌:-m\\àrsɛ̌:,"jáwdì-m\\jáwdì, dá:bà-m\\dá:bà",gàsɛ̀gɛ́,bɛ̀lú,"àsɛ̀gɛ́, gàsɛ̀gɛ́",àsɛ̀gɛ́,gàrsɛ̀gɛ́,àsɛ̀gɛ́,gìrⁿí árúsɛ̀gɛ̀,àrùsɛ̀gɛ́,"dà:bá, byɛ̀ (X byɛ́)",dá:bá:,,"gìnɛ̀-ý bɛ̀lù, bɛ̀lú",,"bɛ́lɛ̀g, bɛ́lɛ̀gù","àsɛ̀gɛ́\\àsɛ̀gɛ̀-mbɔ́, gàsɛ̀gɛ́\\gàsɛ̀gɛ̀-mbɔ́",àzɛ̀gɛ̀\\-mú ~ àsɛ̀gɛ̀\\-mú,dúmɛ́-ŋgó\\dúmɛ́:,bèl,"dèbù bɛ́lí, bɛ́lí",,kɔ́mbɔ̀,dá:bá
(sb's) livestock (collective),,jáwdù,jáwdì,jáwdì,,"jáwdì, gàsɛ̀gɛ̀ ùrùgó",,,,"àrùsɛ̀gɛ́, àsɛ̀gɛ́",bɛ̌l,,,,bɛ̀lú,,"bɛ́lɛ̀g, bɛ́lɛ̀gù",,jáwdì,"pó:n, dúmɔ́:",,bɛ́lí débú,,,
(young herder's) favorite livestock animal (kept apart from herd),gáfèl,gábêl,gáfêl,gábérì,,gápêl,,,,,X-dínù (after animal name),,,,"[X] dínnú, gápèl",,,,gábèl,gáfèl\\gáfèl-mbò,,járnì,,,
camel,ɲɔ́,ɔ̀:ɲùwⁿɔ̂-m,ɔ̀:ɲɛ̂ⁿ-m\\ɔ̀:ɲɛ̂ⁿ,ɔ̀gɔ̀-ɲɔ̀ŋɔ̂,ɔ̀ŋɔ̀-yòŋó,ɔ̀ɣɔ̀-ɲùŋó,ɔ̀gɔ̀-ɲùwⁿó,ɔ̀ɣɔ̀-yⁿùwⁿó,,ɔ̀gɔ̀-ɲɔ̌,ɔ̀gɔ̀-yɔ̌:ⁿ,ɲɔ̀ʔɔ̀mɛ́,ɲɔ̀ŋɛ̀mɛ́,xxx,ɲòŋóm,yɔ́ŋmɛ̀,yɔ́ŋùmɛ̀,ɔ̀gɔ̀ɲɔ̀ŋɔ́\\ɔ̀gɔ̀ɲɔ̀ŋɔ̀-mbɔ́,ɔ̀gɔ̀-ɲɔ̀ŋɔ̀\\-mú,ɲ̀ɔ̀ŋɔ̀mɛ́\\ɲɔ̀ŋɔ̌:-mbó,njèlèbà,ɲɔ̀ŋɔ̀mɛ́,,ɲɔ́ŋɔ́mɛ̀,ɲɔ́:mɔ̀yⁿ
cat,nìwⁿá,nì-nìwⁿɛ̌-m\\nì-nìwⁿɛ́,nùmǎ-m\\nùmá,dòndíyê,gámmà,nì-nìwⁿé,nì-nìwⁿé,nìnìwⁿé,,dònó,gámà,dóndó,dòndò,xxx,gámmá,gâ:ŋ (gâ:ŋ yà:),gáàŋ,bàlmá\\bàlmà-mbɔ́,gà:ⁿ\\-mù,gáŋà\\gáŋà-mbò,gà:nà,gà:wⁿě,,ɲá:lì,gà:ⁿ
"cow, bull (any bovine)",nàŋá,nǎ:-m\\nǎ:,nǎ:-m\\nǎ:,nàŋá,nàŋá,nàŋá,nàŋá,nàŋá,,nàŋá,nǎ:,nàʔⁿà,nàŋà,,nàá,nǎ:g (nà:gú),nààgú,nǎ:\\nà:-mbɔ́,nà:\\-mù,nɛ̌:\\nàwó:,ná:\\ná:-gè,nâ:,,ná (nâ: nɔ̀),nà:
calf,nàŋà-[ìrⁿ-í:],nà: yǐ-m,nà:-yî-m\\nà:-yî:,nàŋà yî:,nàŋà-î:,nàŋ-î:ⁿ,nàŋ-î:ⁿ,,,nàŋ-í:ⁿ,nà:-î:,nàʔⁿà-dòmbéⁿ,nàŋà-dòmbè,,"nàà íí, ɔ̀líí nàà",,nààgù égù,nà: ɛ̀dɛ́,nǎ-yyè\\-mù,nà:mbî:\\nà:mbû:,,nà: wé:,,ná:-bè,nà: wê:
cow (female),nàŋà-yá,nà: yǎ-m,,nàŋà yǎ:,,nàŋà-ná:,,,,nàŋà ná:,nà: yǎ:,,,,nàà yàá,,,,nà: yɛ̀\\-mù,nɛ̀: yɛ̌:\\nàwò: yàwó:,,ná: yɔ̀:,,,
cow that has calved at least once,nàŋà-yà-ná:,nà: ná:-m,"nà:-yǎ-m\\nà:-yǎ:, há:ŋɛ̀-m\\há:ŋɛ̀",nàŋà dé:,,,,,,,xxx,,,,nàà náláá-dɛ̀,,,,nà:-nì:\\-mú,,,nà: gùlá,,,
cow (with a calf),,nà: yàyô-m,,nàŋà yî: dè:,,nàŋà-ná:,,,,,nà:-î: nà:,,,,nàà íí nàà,,,,,nɛ̀: yá-yè\\nàwò: yá-y-mbò,,,,,
